OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y,temperature,wind_speed,water_flow,cloud_cover,estimated_output
1901,H0259,Kaweah 1,0,Southern California Edison (SCE),Tulare,1.0,1,WAT,5/1/1990 0:00,0.0,-118.8619232,36.46525579,4.51,1.35,0.0,91,0.0
1902,H0260,Kaweah 2,0,Southern California Edison (SCE),Tulare,1.8,2,WAT,9/1/1929 0:00,0.0,-118.8798063,36.46156754,4.61,1.35,0.0,91,0.0
1903,H0116,Cottonwood,0,Los Angeles Department of Water & Power (LADWP),Inyo,2.8,"Unit 1, Unit 2",WAT,11/1/1908 0:00,0.0,-118.0435542,36.44346899,0.76,12.96,0.0,85,0.0
1904,S9028,CSU Monterey Bay - PV,0,Not Available,Monterey,1.0,1,SUN,1/1/2012 0:00,0.0,-121.7890482,36.64775046,7.75,1.79,0.0,20,0.1462
1905,S9063,Community Hospital of Monterey Peninsula,0,Not Available,Monterey,1.0,1,SUN,1/1/2012 0:00,0.0,-121.9132743,36.57971873,8.0,1.79,0.0,20,0.14640000000000003
1906,S9071,Salinas Valley Memorial Hospital,0,Not Available,Monterey,1.0,1,SUN,1/1/2012 0:00,0.0,-121.6471272,36.65941738,7.69,1.54,0.0,0,0.18269000000000002
1907,S9040,Wines US Inc. Constellation,0,Not Available,Monterey,1.0,1,SUN,1/1/2012 0:00,0.0,-121.4340179,36.50335404,8.34,2.05,0.0,14,0.1576724
1909,W0457,Taylor Farms,0,See WPRS for details,Monterey,1.0,WPRS 1,WND,12/31/1989 0:00,0.0,-121.4515761,36.50521623,8.35,2.05,0.0,14,1.0
1910,S0635,Panoche Valley Solar,0,RWE Clean Energy,San Benito,140.0,Unit 1,SUN,12/29/2017 0:00,0.0,-120.8881855,36.63127382,6.25,1.69,0.0,63,9.38875
1915,S0588,Buford Giffen Solar,0,Not Available,Fresno,20.0,Unit 1,SUN,6/16/2017 0:00,0.0,-120.3391471,36.55347626,5.44,3.13,0.0,3,3.500536
1916,S0178,Giffen Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,10.0,1,SUN,6/30/2012 0:00,0.0,-120.3136104,36.52960867,5.38,3.11,0.0,4,1.731648
1917,S0312,Adams East  LLC,0,Onward Energy,Fresno,19.0,1,SUN,12/1/2014 0:00,0.0,-120.3850459,36.61553056,5.48,2.82,0.0,11,3.0519168000000003
1918,S0526,Tranquillity LLC,0,Southern Power Company,Fresno,200.0,TRQS1,SUN,7/28/2016 0:00,0.0,-120.4006145,36.57798593,5.47,2.83,0.0,12,31.76272
1919,S0605,Giffen Solar Park LLC,0,Stellar Power Renewable LLC,Fresno,20.0,W5512,SUN,5/22/2017 0:00,0.0,-120.3452996,36.5483347,5.38,3.11,0.0,4,3.463296
1920,S0616,Aspiration Solar,0,S-Power (Sustainable Power Group),Fresno,9.0,Unit 1,SUN,9/13/2017 0:00,0.0,-120.3454512,36.54836655,5.38,3.11,0.0,4,1.5584832
1921,S0653,Great Valley Solar Portfolio (Tranquillity 8),0,Great Valley Solar Portfolio Holdings LLC,Fresno,200.0,"Amarillo, Azul, Rojo, Verde",SUN,12/26/2017 0:00,0.0,-120.3832696,36.57834813,5.47,2.83,0.0,12,31.76272
1923,S0139,Stroud Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20.0,Unit 1,SUN,10/26/2011 0:00,0.0,-120.1230221,36.52391365,4.1,3.29,0.0,24,2.72232
1924,S0425,Fresno Solar South,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 0:00,0.0,-120.1017409,36.61606171,4.58,3.35,0.0,24,0.20472120000000005
1925,S0426,Fresno Solar West,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 0:00,0.0,-120.1044729,36.61700367,4.59,3.35,0.0,24,0.20473260000000004
1926,S0654,Summer Wheat,0,"GASNA 36P, LLC",San Joaquin,18.5,Unit 1,SUN,12/10/2018 0:00,0.0,-120.1494635,36.5255443,4.09,3.36,0.0,16,2.7830586
1928,S9012,Golden State Vintners,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.9221195,36.67210281,5.41,3.23,0.0,50,0.09020500000000001
1929,S9085,Fowler Packing Company Inc.,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.7524413,36.61349306,5.97,1.54,0.0,40,0.108582
1930,S9086,Fowler Packing Company Inc.,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.7539499,36.61345773,5.98,1.54,0.0,40,0.10858800000000002
1931,S9034,Maxco Supply Inc.,0,Not Available,Fresno,1.0,1,SUN,1/1/2012 0:00,0.0,-119.5233537,36.61173489,4.47,1.54,0.0,0,0.17947000000000002
1932,S9181,Kingsburg Solar (1 & 2),0,Altus Power,Fresno,3.7,"Unit 1, Unit 2",SUN,12/1/2013 0:00,0.0,-119.5719105,36.54617084,4.6,1.54,0.0,0,0.6645200000000001
1933,S9190,Pristine Sun Fund 10 Fresno PGE LLC_(2102_Christensen),0,Not Available,Fresno,1.0,Unit 1,SUN,12/31/2013 0:00,0.0,-119.5734462,36.65444027,4.63,1.54,0.0,0,0.17963
1935,S9320,ImModo California 1 LLC_(Alta 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.3137674,36.54122095,5.09,0.45,0.0,63,0.09994995000000001
1936,S9321,ImModo California 1 LLC_(Alta 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.3137674,36.54122095,5.09,0.45,0.0,63,0.09994995000000001
1937,S9322,ImModo California 1 LLC_(Alta 4),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.3137674,36.54122095,5.09,0.45,0.0,63,0.09994995000000001
1938,S9323,ImModo California 1 LLC_(Alta 5),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.3137674,36.54122095,5.09,0.45,0.0,63,0.09994995000000001
1939,S9324,ImModo California 1 LLC_(Alta 6),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.3137674,36.54122095,5.09,0.45,0.0,63,0.09994995000000001
1940,S0302,Terzian,0,Pristine Sun LLC,Fresno,1.25,1,SUN,5/1/2014 0:00,0.0,-119.415533,36.66811523,4.42,1.54,0.0,0,0.224275
1941,S9000,Ruiz Foods,0,Not Available,Tulare,1.0,1,SUN,1/1/2012 0:00,0.0,-119.3982813,36.53985992,5.15,0.45,0.0,55,0.0810675
1942,S9060,City of Dinuba,0,S-Power (Sustainable Power Group),Tulare,1.0,1,SUN,1/1/2012 0:00,0.0,-119.4261038,36.53839245,5.2,0.45,0.0,51,0.08829800000000002
1944,H0261,Kaweah 3,0,Southern California Edison (SCE),Tulare,4.8,1,WAT,5/1/1913 0:00,0.0,-118.8354276,36.48605103,3.73,1.9,0.0,90,0.0
1945,S0621,Monterey Regional Water Pollution Control Agency,0,Tesla Inc.,Monterey,1.12,939009-CA,SUN,12/21/2010 0:00,0.0,-121.7688723,36.70818389,8.01,1.54,0.0,20,0.16397696000000006
1946,S9042,Pollution Control Monterey Reg'l Water,0,Not Available,Monterey,1.0,1,SUN,1/1/2012 0:00,0.0,-121.801017,36.693303,8.5,1.79,0.0,20,0.1468
1952,S0304,San Benito Smart Park,0,Bay4 Energy Services LLC,San Benito,2.0,1,SUN,5/31/2014 0:00,0.0,-121.4041767,36.83290358,6.09,0.0,0.0,0,0.36218
1953,S0387,Enerparc CA1 LLC,0,"RC Energy Hollister, LLC",San Benito,1.5,Unit 1,SUN,6/16/2014 0:00,0.0,-121.4038485,36.83130072,6.09,0.0,0.0,0,0.271635
1954,S0428,Hollister Solar,0,Hollister Solar LLC,San Benito,1.5,Unit 1,SUN,4/1/2015 0:00,0.0,-121.4290222,36.86331353,5.99,0.0,0.0,0,0.27148500000000003
1955,S9061,City of Hollister,0,Not Available,San Benito,1.0,1,SUN,1/1/2012 0:00,0.0,-121.4459151,36.85717627,6.04,0.0,0.0,0,0.18104
